s,C,mol/mol
Time,"TC_Center","CO_Center"
 3.7840600E+001, 4.5767559E+001, 2.8985070E-005
 3.8319595E+001, 4.6328853E+001, 2.9706002E-005
 3.8638925E+001, 4.6895043E+001, 3.0408385E-005
 3.8958255E+001, 4.7338582E+001, 3.0892081E-005
 3.9277585E+001, 4.7754150E+001, 3.1182663E-005
 3.9756580E+001, 4.8230771E+001, 3.1178184E-005
 4.0075910E+001, 4.8654494E+001, 3.0873757E-005
 4.0395240E+001, 4.8947661E+001, 3.0423543E-005
 4.0714569E+001, 4.9191718E+001, 2.9824416E-005
 4.1193564E+001, 4.9422887E+001, 2.8899114E-005
 4.1512894E+001, 4.9572735E+001, 2.7834575E-005
 4.1832224E+001, 4.9626389E+001, 2.6899398E-005
 4.2151554E+001, 4.9626128E+001, 2.5899628E-005
 4.2630549E+001, 4.9556396E+001, 2.4587574E-005
 4.2949879E+001, 4.9428644E+001, 2.3337052E-005
 4.3269209E+001, 4.9296230E+001, 2.2486694E-005
 4.3588539E+001, 4.9155762E+001, 2.1813214E-005
 4.4067534E+001, 4.8986024E+001, 2.1263593E-005
 4.4352158E+001, 4.8841931E+001, 2.0960781E-005
 4.4779095E+001, 4.8733614E+001, 2.0843274E-005
 4.5063719E+001, 4.8656758E+001, 2.0797032E-005
 4.5490655E+001, 4.8618970E+001, 2.0822012E-005
 4.5775280E+001, 4.8626968E+001, 2.1065132E-005
 4.6202216E+001, 4.8714038E+001, 2.1764186E-005
 4.6486840E+001, 4.8888632E+001, 2.2909550E-005
 4.6913777E+001, 4.9183840E+001, 2.4571810E-005
 4.7198401E+001, 4.9599508E+001, 2.6651914E-005
 4.7625337E+001, 5.0154450E+001, 2.9072878E-005
 4.7909962E+001, 5.0831057E+001, 3.1635339E-005
 4.8336898E+001, 5.1639617E+001, 3.4247081E-005
 4.8621522E+001, 5.2552059E+001, 3.6841359E-005
 4.9048459E+001, 5.3577749E+001, 3.9673391E-005
 4.9412794E+001, 5.4795640E+001, 4.2908077E-005
 4.9745828E+001, 5.5957724E+001, 4.5386043E-005
 5.0089964E+001, 5.7154652E+001, 4.7125819E-005
 5.0456301E+001, 5.8410287E+001, 4.8490078E-005
 5.0822639E+001, 5.9671781E+001, 4.9656634E-005
 5.1188977E+001, 6.0913350E+001, 5.0676741E-005
 5.1555315E+001, 6.2128001E+001, 5.1206927E-005
 5.1921653E+001, 6.3276955E+001, 5.0993626E-005
 5.2287991E+001, 6.4289528E+001, 5.0171156E-005
 5.2658898E+001, 6.5124624E+001, 4.8930377E-005
 5.3013774E+001, 6.5723402E+001, 4.7561249E-005
 5.3368650E+001, 6.6129037E+001, 4.5611742E-005
 5.3723526E+001, 6.6371702E+001, 4.3936731E-005
 5.4078402E+001, 6.6502585E+001, 4.2785917E-005
 5.4445108E+001, 6.6554680E+001, 4.1138526E-005
 5.4835471E+001, 6.6530225E+001, 3.9702756E-005
 5.5095714E+001, 6.6480396E+001, 3.9245916E-005
 5.5486077E+001, 6.6444794E+001, 3.9517273E-005
 5.5876441E+001, 6.6481655E+001, 4.0625087E-005
 5.6266804E+001, 6.6688304E+001, 4.2959821E-005
 5.6527047E+001, 6.7017558E+001, 4.5864304E-005
 5.6917410E+001, 6.7474400E+001, 4.7964983E-005
 5.7307774E+001, 6.8159584E+001, 4.9660098E-005
 5.7628367E+001, 6.8892029E+001, 5.1331049E-005
 5.7970334E+001, 6.9775273E+001, 5.3093554E-005
