s,C,mol/mol
Time,"TC_Center","CO_Center"
 0.0000000E+000, 2.2000000E+001, 0.0000000E+000
 3.8319595E-001, 2.1999999E+001, 1.2404728E-014
 7.3445890E-001, 2.1999998E+001, 7.6889775E-013
 1.0857219E+000, 2.1999998E+001, 8.7099961E-012
 1.4689178E+000, 2.1999998E+001, 4.0413968E-011
 1.8201808E+000, 2.1999999E+001, 1.2255477E-010
 2.1714437E+000, 2.2000005E+001, 2.8788896E-010
 2.5227067E+000, 2.2000018E+001, 5.9044802E-010
 2.9059026E+000, 2.2000046E+001, 1.1371990E-009
 3.2571656E+000, 2.2000096E+001, 2.0358195E-009
 3.6084285E+000, 2.2000178E+001, 3.4109260E-009
 3.9916245E+000, 2.2000317E+001, 5.6957422E-009
 4.3428874E+000, 2.2000539E+001, 9.3229744E-009
 4.6941504E+000, 2.2000872E+001, 1.4835263E-008
 5.0454133E+000, 2.2001388E+001, 2.3462683E-008
 5.4286093E+000, 2.2002230E+001, 3.7649092E-008
 5.7798722E+000, 2.2003542E+001, 5.9582518E-008
 6.1311352E+000, 2.2005483E+001, 9.1386995E-008
 6.4823981E+000, 2.2008431E+001, 1.3812139E-007
 6.8655941E+000, 2.2014171E+001, 2.0874729E-007
 7.2168570E+000, 2.2046438E+001, 3.0469977E-007
 7.5681200E+000, 2.2112797E+001, 4.3005011E-007
 7.9513159E+000, 2.2183103E+001, 6.0215219E-007
 8.3025789E+000, 2.2252509E+001, 8.2226860E-007
 8.6538418E+000, 2.2322599E+001, 1.0864948E-006
 9.0051048E+000, 2.2399082E+001, 1.4110675E-006
 9.3883007E+000, 2.2487709E+001, 1.8248335E-006
 9.7395637E+000, 2.2586340E+001, 2.3228257E-006
 1.0090827E+001, 2.2691329E+001, 2.8891928E-006
 1.0442090E+001, 2.2807624E+001, 3.5519573E-006
 1.0825286E+001, 2.2942353E+001, 4.3577719E-006
 1.1176548E+001, 2.3091204E+001, 5.2835674E-006
 1.1527811E+001, 2.3247886E+001, 6.2718928E-006
 1.1911007E+001, 2.3427195E+001, 7.3939738E-006
 1.2262270E+001, 2.3622457E+001, 8.5957759E-006
 1.2613533E+001, 2.3825204E+001, 9.8093355E-006
 1.2964796E+001, 2.4043470E+001, 1.1093179E-005
 1.3347992E+001, 2.4287882E+001, 1.2508193E-005
 1.3699255E+001, 2.4548452E+001, 1.3974492E-005
 1.4050518E+001, 2.4812820E+001, 1.5345137E-005
 1.4401781E+001, 2.5091374E+001, 1.6600125E-005
 1.4784977E+001, 2.5396373E+001, 1.7757020E-005
 1.5136240E+001, 2.5713455E+001, 1.8736011E-005
 1.5487503E+001, 2.6027501E+001, 1.9491495E-005
 1.5870699E+001, 2.6383441E+001, 2.0074095E-005
 1.6221962E+001, 2.6813151E+001, 2.0419262E-005
 1.6573225E+001, 2.7318723E+001, 2.0551158E-005
 1.6924488E+001, 2.7972319E+001, 2.0549667E-005
 1.7307684E+001, 2.8634313E+001, 2.0444348E-005
 1.7658385E+001, 2.9203196E+001, 2.0290934E-005
 1.8002588E+001, 2.9681061E+001, 2.0151306E-005
 1.8366869E+001, 3.0124022E+001, 1.9929533E-005
 1.8742454E+001, 3.0544688E+001, 1.9597208E-005
 1.9102666E+001, 3.0932321E+001, 1.9280862E-005
 1.9462878E+001, 3.1290022E+001, 1.8993734E-005
 1.9823090E+001, 3.1626167E+001, 1.8737282E-005
 2.0177298E+001, 3.1940452E+001, 1.8521527E-005
 2.0525622E+001, 3.2237971E+001, 1.8355381E-005
 2.0901265E+001, 3.2535623E+001, 1.8244875E-005
 2.1259378E+001, 3.2827136E+001, 1.8212337E-005
 2.1610604E+001, 3.3103701E+001, 1.8269523E-005
 2.1972166E+001, 3.3382755E+001, 1.8419146E-005
 2.2333727E+001, 3.3675554E+001, 1.8660272E-005
 2.2697698E+001, 3.3978661E+001, 1.8978584E-005
 2.3046367E+001, 3.4283020E+001, 1.9334906E-005
 2.3421422E+001, 3.4604596E+001, 1.9709768E-005
 2.3780171E+001, 3.4947337E+001, 2.0065719E-005
 2.4138919E+001, 3.5290359E+001, 2.0361192E-005
 2.4494780E+001, 3.5636686E+001, 2.0586444E-005
 2.4840390E+001, 3.5972486E+001, 2.0729862E-005
 2.5206755E+001, 3.6308804E+001, 2.0787831E-005
 2.5584262E+001, 3.6654971E+001, 2.0760241E-005
 2.5933363E+001, 3.6979558E+001, 2.0646106E-005
 2.6284662E+001, 3.7266435E+001, 2.0462093E-005
 2.6645329E+001, 3.7542412E+001, 2.0203399E-005
 2.7011446E+001, 3.7805458E+001, 1.9873084E-005
 2.7380299E+001, 3.8042947E+001, 1.9505141E-005
