s,C,mol/mol
Time,"TC_Center","CO_Center"
 0.0000000E+000, 2.2000000E+001, 0.0000000E+000
 3.8319595E-001, 2.1999999E+001, 1.1578136E-014
 7.6639190E-001, 2.1999997E+001, 9.2464751E-013
 1.0857219E+000, 2.1999996E+001, 9.3720287E-012
 1.4689178E+000, 2.1999996E+001, 4.0808561E-011
 1.8521137E+000, 2.1999997E+001, 1.2943547E-010
 2.1714437E+000, 2.2000003E+001, 2.9940125E-010
 2.5546397E+000, 2.2000015E+001, 6.1533116E-010
 2.9378356E+000, 2.2000044E+001, 1.2090364E-009
 3.2571656E+000, 2.2000091E+001, 2.0990919E-009
 3.6403615E+000, 2.2000171E+001, 3.5237150E-009
 4.0235575E+000, 2.2000317E+001, 5.9943988E-009
 4.3428874E+000, 2.2000531E+001, 9.5753949E-009
 4.7260834E+000, 2.2000869E+001, 1.5270390E-008
 5.0454133E+000, 2.2001390E+001, 2.4055700E-008
 5.4286093E+000, 2.2002206E+001, 3.7848553E-008
 5.8118052E+000, 2.2003606E+001, 6.1161657E-008
 6.1311352E+000, 2.2005594E+001, 9.3503909E-008
 6.5143311E+000, 2.2008658E+001, 1.4154685E-007
 6.8975271E+000, 2.2014893E+001, 2.1732937E-007
 7.2168570E+000, 2.2033249E+001, 3.1211747E-007
 7.6000530E+000, 2.2073387E+001, 4.4115317E-007
 7.9832489E+000, 2.2138147E+001, 6.2642179E-007
 8.3025789E+000, 2.2203772E+001, 8.4365824E-007
 8.6857748E+000, 2.2272952E+001, 1.1165256E-006
 9.0051048E+000, 2.2346069E+001, 1.4501367E-006
 9.3883007E+000, 2.2424740E+001, 1.8579706E-006
 9.7714967E+000, 2.2519298E+001, 2.3954990E-006
 1.0090827E+001, 2.2615753E+001, 2.9835353E-006
 1.0474023E+001, 2.2724495E+001, 3.6775005E-006
 1.0857219E+001, 2.2858679E+001, 4.5607337E-006
 1.1176548E+001, 2.2997147E+001, 5.4889353E-006
 1.1559744E+001, 2.3153285E+001, 6.5147334E-006
 1.1942940E+001, 2.3344044E+001, 7.7244452E-006
 1.2262270E+001, 2.3539015E+001, 8.9033068E-006
 1.2645466E+001, 2.3755985E+001, 1.0149411E-005
 1.2964796E+001, 2.3993061E+001, 1.1463256E-005
 1.3347992E+001, 2.4250666E+001, 1.2828876E-005
 1.3731188E+001, 2.4551995E+001, 1.4293747E-005
 1.4050518E+001, 2.4844013E+001, 1.5517233E-005
 1.4433714E+001, 2.5149319E+001, 1.6586192E-005
 1.4816910E+001, 2.5494386E+001, 1.7559787E-005
 1.5136240E+001, 2.5820361E+001, 1.8267659E-005
 1.5519436E+001, 2.6169560E+001, 1.8786591E-005
 1.5902632E+001, 2.6595168E+001, 1.9150886E-005
 1.6221962E+001, 2.7029873E+001, 1.9305428E-005
 1.6605158E+001, 2.7511108E+001, 1.9312279E-005
 1.6924488E+001, 2.8041367E+001, 1.9220339E-005
 1.7307684E+001, 2.8588661E+001, 1.9049289E-005
 1.7690880E+001, 2.9116424E+001, 1.8861924E-005
 1.8010210E+001, 2.9547582E+001, 1.8636771E-005
 1.8393406E+001, 2.9939057E+001, 1.8350928E-005
 1.8776601E+001, 3.0331697E+001, 1.8053767E-005
 1.9095931E+001, 3.0667306E+001, 1.7803219E-005
 1.9479127E+001, 3.0984171E+001, 1.7584602E-005
 1.9862323E+001, 3.1312361E+001, 1.7389396E-005
 2.0181653E+001, 3.1601069E+001, 1.7261463E-005
 2.0564849E+001, 3.1879341E+001, 1.7202222E-005
 2.0884179E+001, 3.2151325E+001, 1.7221776E-005
 2.1267375E+001, 3.2422215E+001, 1.7333247E-005
 2.1650571E+001, 3.2720178E+001, 1.7558560E-005
 2.1969901E+001, 3.3000890E+001, 1.7858407E-005
 2.2353097E+001, 3.3293360E+001, 1.8239415E-005
 2.2736293E+001, 3.3627091E+001, 1.8708606E-005
 2.3055623E+001, 3.3949407E+001, 1.9151534E-005
 2.3438819E+001, 3.4286901E+001, 1.9575280E-005
 2.3822015E+001, 3.4669499E+001, 1.9986961E-005
 2.4141345E+001, 3.5029914E+001, 2.0296290E-005
 2.4524541E+001, 3.5394690E+001, 2.0520271E-005
 2.4843871E+001, 3.5758674E+001, 2.0655170E-005
 2.5227067E+001, 3.6116348E+001, 2.0697670E-005
 2.5610263E+001, 3.6492645E+001, 2.0653367E-005
 2.5929592E+001, 3.6820210E+001, 2.0529182E-005
 2.6312788E+001, 3.7126686E+001, 2.0325309E-005
 2.6676489E+001, 3.7427088E+001, 2.0042953E-005
 2.7020695E+001, 3.7689008E+001, 1.9735925E-005
 2.7364900E+001, 3.7922864E+001, 1.9409298E-005
